Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0.25,SVM,SVM,0.938461538,0.684210526,0.801314709,0.722222222,0.880952381,0.811336032,"[[61  4]
 [ 6 13]]"
0.25,WSVM,WSVM,0.938461538,0.684210526,0.801314709,0.722222222,0.880952381,0.811336032,"[[61  4]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,estimated_hyper_lin,lin_center_own,0.953846154,0.736842105,0.83835196,0.777777778,0.904761905,0.84534413,"[[62  3]
 [ 5 14]]"
0.25,estimated_hyper_lin,exp,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,actual_hyper_lin,lin_center_own,0.953846154,0.736842105,0.83835196,0.777777778,0.904761905,0.84534413,"[[62  3]
 [ 5 14]]"
0.25,actual_hyper_lin,exp,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,distance_center_own_opposite_tam,func_own_opp_new,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,own_class_center,lin_center_own,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,own_class_center,lin_center_own,0.938461538,0.736842105,0.831563573,0.756756757,0.892857143,0.837651822,"[[61  4]
 [ 5 14]]"
0.25,own_class_center,lin_center_own,0.938461538,0.684210526,0.801314709,0.722222222,0.880952381,0.811336032,"[[61  4]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.938461538,0.684210526,0.801314709,0.722222222,0.880952381,0.811336032,"[[61  4]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.892307692,0.684210526,0.781361834,0.666666667,0.845238095,0.788259109,"[[58  7]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.892307692,0.684210526,0.781361834,0.666666667,0.845238095,0.788259109,"[[58  7]
 [ 6 13]]"
0.25,own_class_center,lin_center_own,0.876923077,0.631578947,0.744208408,0.615384615,0.821428571,0.754251012,"[[57  8]
 [ 7 12]]"
0.25,own_class_center,lin_center_own,0.830769231,0.578947368,0.693521204,0.536585366,0.773809524,0.7048583,"[[54 11]
 [ 8 11]]"
0.25,own_class_center,lin_center_own,0.815384615,0.526315789,0.655095258,0.487804878,0.75,0.670850202,"[[53 12]
 [ 9 10]]"
0.25,own_class_center,lin_center_own,0.815384615,0.578947368,0.687069703,0.523809524,0.761904762,0.697165992,"[[53 12]
 [ 8 11]]"
0.25,own_class_center,lin_center_own,0.830769231,0.578947368,0.693521204,0.536585366,0.773809524,0.7048583,"[[54 11]
 [ 8 11]]"
0.25,own_class_center,lin_center_own,0.815384615,0.526315789,0.655095258,0.487804878,0.75,0.670850202,"[[53 12]
 [ 9 10]]"
0.25,own_class_center,lin_center_own,0.8,0.578947368,0.680557047,0.511627907,0.75,0.689473684,"[[52 13]
 [ 8 11]]"
0.25,own_class_center,lin_center_own,0.8,0.526315789,0.648885685,0.476190476,0.738095238,0.663157895,"[[52 13]
 [ 9 10]]"
0.25,own_class_center,lin_center_own,0.8,0.526315789,0.648885685,0.476190476,0.738095238,0.663157895,"[[52 13]
 [ 9 10]]"
0.25,own_class_center,lin_center_own,0.8,0.631578947,0.710818653,0.545454545,0.761904762,0.715789474,"[[52 13]
 [ 7 12]]"
0.25,own_class_center,lin_center_own,0.8,0.578947368,0.680557047,0.511627907,0.75,0.689473684,"[[52 13]
 [ 8 11]]"
0.25,own_class_center,lin_center_own,0.784615385,0.631578947,0.703950679,0.533333333,0.75,0.708097166,"[[51 14]
 [ 7 12]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.923076923,0.684210526,0.794719414,0.702702703,0.869047619,0.803643725,"[[60  5]
 [ 6 13]]"
0.25,own_class_center,exp,0.907692308,0.684210526,0.788068926,0.684210526,0.857142857,0.795951417,"[[59  6]
 [ 6 13]]"
0.25,own_class_center,exp,0.892307692,0.684210526,0.781361834,0.666666667,0.845238095,0.788259109,"[[58  7]
 [ 6 13]]"
0.25,own_class_center,exp,0.892307692,0.578947368,0.71874835,0.594594595,0.821428571,0.73562753,"[[58  7]
 [ 8 11]]"
0.25,own_class_center,exp,0.830769231,0.578947368,0.693521204,0.536585366,0.773809524,0.7048583,"[[54 11]
 [ 8 11]]"
0.25,own_class_center,exp,0.815384615,0.631578947,0.717620901,0.558139535,0.773809524,0.723481781,"[[53 12]
 [ 7 12]]"
0.25,own_class_center,exp,0.784615385,0.631578947,0.703950679,0.533333333,0.75,0.708097166,"[[51 14]
 [ 7 12]]"
0.25,own_class_center,exp,0.8,0.578947368,0.680557047,0.511627907,0.75,0.689473684,"[[52 13]
 [ 8 11]]"
0.25,own_class_center,exp,0.8,0.578947368,0.680557047,0.511627907,0.75,0.689473684,"[[52 13]
 [ 8 11]]"
